ticker,grade,composite_score,base_type,depth_pct,pivot_source,rs_percentile,power_rank,distance_to_pivot_pct,reward_to_risk,stop_price
EQIX,REJECT,0.0,standard_base,0.0,,,,0.0,,
EXPI,REJECT,0.0,standard_base,0.0,,,,0.0,,
PLD,B,75.8,flat_base,11.9,flat_max_spike_filtered,57.2,43.2,-1.44,3.38,138.19
PSA,REJECT,0.0,standard_base,0.0,,,,0.0,,
SPG,REJECT,0.0,standard_base,0.0,,,,0.0,,
WELL,REJECT,0.0,standard_base,0.0,,,,0.0,,
TMUS,REJECT,0.0,standard_base,0.0,,,,0.0,,
AEP,REJECT,47.9,cup,15.9,cup_handle,45.6,36.6,-0.9,3.15,128.57
AWK,REJECT,0.0,standard_base,0.0,,,,0.0,,
DUK,REJECT,0.0,standard_base,0.0,,,,0.0,,
ED,REJECT,0.0,standard_base,0.0,,,,0.0,,
ES,REJECT,0.0,standard_base,0.0,,,,0.0,,
EXC,REJECT,0.0,standard_base,0.0,,,,0.0,,
NEE,REJECT,46.0,cup,18.0,cup_handle,50.1,44.5,-2.08,2.92,92.29
SO,REJECT,0.0,standard_base,0.0,,,,0.0,,
SRE,REJECT,0.0,standard_base,0.0,,,,0.0,,
WEC,REJECT,0.0,standard_base,0.0,,,,0.0,,
XEL,REJECT,0.0,standard_base,0.0,,,,0.0,,
GD,REJECT,0.0,standard_base,0.0,,,,0.0,,
HWM,C,60.0,cup,21.2,cup_handle,81.8,61.4,-1.16,1.93,245.41
NOC,REJECT,0.0,standard_base,0.0,,,,0.0,,
TXT,A,77.2,cup,17.0,cup_handle,74.6,52.3,-2.82,2.67,97.77
BEI.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
INFY,REJECT,0.0,standard_base,0.0,,,,0.0,,
