type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,NKE,NKE,^GSPC,,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US,Mega/Large,LargeCap,Y
ticker,NTRS,NTRS,^GSPC,,Financials,Asset Management & Custody Banks,US,Mega/Large,LargeCap,Y
ticker,NVR,NVR,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,OKTA,OKTA,^GSPC,,Information Technology,Application Software,US,Mega/Large,LargeCap,Y
ticker,PANW,PANW,^GSPC,,Information Technology,Systems Software,US,Mega/Large,LargeCap,Y
ticker,PG,PG,^GSPC,,Consumer Staples,Personal Care Products,US,Large,Dividend,Y
ticker,PHM,PHM,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,PNC,PNC,^GSPC,,Financials,Diversified Banks,US,Mega/Large,LargeCap,Y
ticker,ROST,ROST,^GSPC,,Consumer Discretionary,Apparel Retail,US,Mega/Large,LargeCap,Y
ticker,RY,RY,^GSPC,,Financials,Banks,US,All,curated,Y
ticker,SCHW,SCHW,^GSPC,,Financials,Investment Banking & Brokerage,US,Mega/Large,LargeCap,Y
ticker,STT,STT,^GSPC,,Financials,Asset Management & Custody Banks,US,Mega/Large,LargeCap,Y
ticker,T,T,^GSPC,,Communication Services,Integrated Telecommunication Services,US,Mega/Large,LargeCap,Y
ticker,TD,TD,^GSPC,,Financials,Banks,US,All,curated,Y
ticker,TFC,TFC,^GSPC,,Financials,Diversified Banks,US,Mega/Large,LargeCap,Y
ticker,TGT,TGT,^GSPC,,Consumer Staples,Consumer Staples Merchandise Retail,US,Large,Dividend,Y
ticker,TJX,TJX,^GSPC,,Consumer Discretionary,Apparel Retail,US,Mega/Large,LargeCap,Y
ticker,TOL,TOL,^GSPC,,Consumer Discretionary,Homebuilding,US,Large,Dividend,Y
ticker,UNH,UNH,^GSPC,,Health Care,Managed Health Care,US,Mega/Large,LargeCap,Y
ticker,USB,USB,^GSPC,,Financials,Diversified Banks,US,Mega/Large,LargeCap,Y
ticker,VZ,VZ,^GSPC,,Communication Services,Integrated Telecommunication Services,US,Mega/Large,LargeCap,Y
ticker,WFC,WFC,^GSPC,,Financials,Diversified Banks,US,Mega/Large,LargeCap,Y
ticker,WMT,WMT,^GSPC,,Consumer Staples,Consumer Staples Merchandise Retail,US,Large,Dividend,Y
ticker,ZION,ZION,^GSPC,,Financials,Regional Banks,US,Mega/Large,LargeCap,Y
ticker,ZS,ZS,^GSPC,,Information Technology,,US,Mega/Large,LargeCap,Y
ticker,ANET,ANET,^GSPC,,Information Technology,Communications Equipment,US,Mega/Large,LargeCap,Y
